,method,N,noise_frac,init_time,query_time,total_time
0,linear,1000,0.0,1.7079873941838741e-06,0.7202383749536239,0.720240082941018
1,quadtree,1000,0.0,0.004832334001548588,0.5486478750244714,0.55348020902602
2,boxgraph,1000,0.0,0.0016732909716665745,0.006704334053210914,0.008377625024877489
3,linear,1000,0.2,7.909839041531086e-07,0.7054399159969762,0.7054407069808803
4,quadtree,1000,0.2,0.004665000014938414,0.3834505000268109,0.38811550004174933
5,boxgraph,1000,0.2,0.001813374983612448,0.005395707965362817,0.007209082948975265
6,linear,1000,0.5,3.5410048440098763e-06,0.6530493330210447,0.6530528740258887
7,quadtree,1000,0.5,0.004524082993157208,0.26000562496483326,0.26452970795799047
8,boxgraph,1000,0.5,0.0020822500227950513,0.0047025830135680735,0.006784833036363125
9,linear,10000,0.0,6.249756552278996e-07,75.71429658302804,75.7142972080037
10,quadtree,10000,0.0,0.09253279102267697,24.955673457996454,25.04820624901913
11,boxgraph,10000,0.0,0.008064166002441198,0.12377262499649078,0.13183679099893197
12,linear,10000,0.2,8.749775588512421e-07,74.30904658400686,74.30904745898442
13,quadtree,10000,0.2,0.09775225003249943,18.3192227500258,18.4169750000583
14,boxgraph,10000,0.2,0.010419541969895363,0.0938630829914473,0.10428262496134266
15,linear,10000,0.5,6.25033862888813e-07,65.13768145802896,65.13768208306283
16,quadtree,10000,0.5,0.08893708296818659,11.080948832968716,11.169885915936902
17,boxgraph,10000,0.5,0.013606124965008348,0.08051470801001415,0.0941208329750225
